宜しく,2331899
麻生,1417922
相撲,1131056
硫黄,505815
大相撲,383906
奨め,364375
下駄,345846
今宵,285480
竜馬,264010
垣間見,256488
柳川,225397
囚われ,202266
融通,190532
漸く,180341
寛ぎ,178642
数珠,174811
寧ろ,172041
宜しい,171713
野良猫,158344
凸凹,137338
凹み,136268
蚊帳,119662
厄除け,116314
括り,115740
見附,109030
垣間見る,88367
凹む,85518
履物,79714
還る,71433
桟敷,67661
疎か,61644
堕ちる,59284
逸らす,57248
愉しい,56407
長閑,56144
寛げる,48923
灰汁,47658
吸殻,45755
雪駄,42349
寛ぐ,36558
還り,36433
厄除,33275
払戻,32400
御幣,32250
崇める,30168
竜胆,26654
比丘尼,26535
腕相撲,26365
刃傷,26234
囚われる,25459
扶持,24811
雪洞,22914
釣瓶,22278
呉れる,21817
歯磨,21631
括る,21229
猿真似,19760
逸れる,19268
把手,18684
押忍,18210
偏に,17484
麻実,17438
還俗,17241
土竜,15030
呉竹,14714
醜女,14364
維摩,14275
肌理,14202
融ける,14176
逸る,14097
淑やか,14007
還す,13561
大叔父,13493
上溝,13468
不貞腐れ,13126
締め括り,12760
附き,12628
泥除け,12483
酢和え,12427
奨める,12381
不貞寝,11723
遍く,11619
充たす,11570
逸物,11476
金瓶,11029
和琴,10916
騰がる,10824
賜う,10570
薬缶,10513
濯ぎ,9684
逸早く,9434
大叔母,9345
禍禍しい,9155
虞美人草,9096
瓶子,8838
醜男,8589
忍辱,8381
前栽,8179
湯槽,8045
一頻り,7743
肯く,7490
流行り廃り,7403
糾す,7159
酷しい,7018
薫物,6743
日向臭い,6697
尿瓶,6530
こっ酷い,6520
蚊遣,6373
柳葉魚,6310
信天翁,6287
出稼,6258
附く,6163
禍まがしい,6099
喪う,5820
宜しゅう,5749
嗣ぐ,5692
痴れる,5685
宜しき,5678
仙人掌,5643
堪え性,5637
賜わる,5464
清汁,5458
曹達,5382
日嗣,5308
附ける,5162
堪る,4949
芋茎,4920
購う,4826
逸らせる,4549
濯ぐ,4541
挿花,4317
微睡む,4292
水漬く,4292
凹ます,4286
大伯父,4198
摩る,4110
遷す,4103
垣間みる,4093
融かす,4038
大伯母,3999
磨る,3988
世嗣,3957
忍草,3952
憾み,3868
頻り,3857
痴れ者,3822
豆汁,3748
逐う,3649
呼鈴,3566
消渇,3541
虞犯,3501
手懐ける,3452
飛竜頭,3422
括れる,3383
指相撲,3311
鈴生り,3210
堪ん,3125
猫被り,3093
酒槽,3031
花相撲,3015
陪塚,3010
挿頭,2810
磨ぐ,2799
禍事,2790
慶ぶ,2715
草相撲,2605
充ちる,2446
相撲取,2435
蚊除け,2369
上履,2335
未央柳,2309
苦患,2277
脱殻,2266
粧う,2258
寝刃,2240
無患子,2234
徹る,2134
潜竜,2110
飢死,2110
霜除け,2105
旋網,2046
嚇し,2029
謙る,2026
相撲とり,2001
詐り,1949
障泥,1864
泥む,1854
泥塗れ,1833
巨杉,1825
撲る,1739
違棚,1732
酬いる,1685
挟箱,1598
践む,1560
漸う,1499
馬槽,1498
騰る,1437
斎く,1435
憾む,1397
気附,1395
拐かす,1370
魚棚,1326
肯んずる,1320
身罷る,1315
抄く,1299
受附,1289
渇れる,1270
罷る,1267
糾う,1220
渋団扇,1156
庶幾う,1155
磨れる,1089
濯げる,1071
嚇す,1049
下履,1041
首肯く,1039
凸坊,1031
頻る,1021
