時計,3131400
今朝,2011275
行方,1252426
直ぐ,870185
間近,839262
行なう,790651
心地よい,688791
切手,648356
行ない,449229
活かす,393840
川原,278571
太刀,262860
兄妹,260236
止む,214147
小切手,189197
海原,161356
時雨,154966
鳴子,154697
秋刀魚,148101
公家,144884
谷中,137932
八百長,129112
岩魚,124281
立会,115797
小百合,112522
止み,111395
竹刀,111213
左近,110642
自ずと,109313
右近,91126
東雲,89906
海女,88156
活き活き,83547
外山,81095
六道,78149
出会,77376
太刀魚,68835
手近,66313
公方,60575
売出,57581
谷地,56900
谷戸,54541
何方,53676
山茶花,52311
雲母,51185
十八番,50731
活きる,48127
明太,43632
間人,42975
空家,42479
八頭,41474
前山,40964
思し,40656
五月晴れ,39785
牛頭,38042
四方山話,37883
日明,37805
一語,37490
見晴,36955
道行,36036
点前,34452
海星,33912
長刀,32540
図体,32481
自ずから,32347
野点,30568
小太刀,29071
引出,28274
強か,27611
考へる,26763
大明,26247
お点前,25753
山百合,23746
心太,22718
止し,22706
早合点,22103
食む,21186
知合い,21171
弓手,20270
点く,19529
黒文字,19008
直会,18830
時鳥,18571
角力,17006
細雪,16581
百合,15288
ケ国,14547
白百合,14496
小父,14363
活ける,14294
切通,13817
間近い,13775
直心,13629
紙魚,13558
夏休,13241
八百万,13005
売女,12656
刀自,12639
今日日,12582
十六夜,12568
通せんぼ,12512
六朝,12458
万年青,12381
三行半,12045
六合,11403
四方山,11169
思す,10822
画く,10718
弟切草,10503
切先,9941
点てる,9839
竹光,9761
思しい,9325
人心地,8956
南京虫,8640
長ける,8583
公魚,8248
鳥子,8107
十姉妹,7767
点す,7552
水母,7537
大原女,7509
図図しい,7282
点る,7074
魚子,7013
水計,6978
行手,6885
見通,6882
馬手,6838
後朝,6694
木通,6569
いけ図図しい,6445
校合,6052
野太刀,5832
小止み,5375
五月晴,5220
白南風,5194
水雲,4953
雪ぐ,4339
川原石,4332
食中り,4215
小半,3988
入声,3942
活花,3867
立女形,3853
通草,3760
手弱女,3731
黒百合,3446
木太刀,3369
止す,3147
犬走,3115
出来す,3103
明明後日,3011
三ッ星,3004
車前草,2853
出会す,2822
六書,2767
国作,2608
知合,2602
花活け,2527
番える,2520
点てん,2495
太刀風,2433
入明,2353
二合半,2294
時雨れる,2273
青海原,2057
雨止み,1959
文色,1910
少女子,1817
引直,1774
糸魚,1696
聞す,1636
交交,1515
交名,1447
村時雨,1415
羽交,1326
ひとり合点,1310
六体,1310
馬刀貝,1288
食み出し,1076
外らす,1023
点頭く,1020
