美味しい,6154557
物語,5835716
勝手,4767286
息子,4568976
想い,2291366
実に,2154189
身近,1937729
予め,1758540
真面目,1577844
流石,1141031
真っ赤,954563
美味い,869647
日和,723642
神楽,629977
日向,541360
真田,515295
使い勝手,503949
真っ直ぐ,473851
想い出,379461
取消,379154
三味線,378390
小豆,342076
想う,324279
死神,316612
小路,308675
和え,285373
流行り,272773
申立,253166
申出,207740
真中,199630
山羊,196404
悪し,196232
鼻血,194013
真っ青,186927
助っ人,184229
全う,174196
身勝手,167415
三十路,166055
八百屋,156293
着心地,145457
神子,126430
母屋,108256
宮地,105339
勝間,104728
追分,101554
流行る,101174
表わす,98020
指図,94809
絵具,88815
ケ所,82386
太刀打ち,79835
内宮,78906
美味しんぼ,78275
生真面目,77146
悪しからず,74762
広小路,73779
和え物,68697
外宮,66418
幸先,65862
船着,63066
日向ぼっこ,62903
飲物,60258
温州,56654
真直ぐ,50129
見習,48034
早死,47785
勝手口,47565
時化,45494
発つ,44455
追手,44184
人死,42078
日和見,41148
半平,41086
入母屋,39879
和物,39731
目出度い,38679
真赤,38505
外様,38281
落人,37416
美しくも,36227
土筆,35780
お神酒,33177
引落,32434
和える,31439
意気地,30725
白和え,29469
申入れ,28841
氷雨,28813
男神,28760
手取,27709
鳴神,25973
放ったらかし,25556
助太刀,25058
春宮,23987
四十路,23715
三味,23694
神馬,23620
豆油,22517
薬研,20172
急かす,19337
馬追,19186
月代,18797
具に,17806
太神,17782
美人局,17290
飲水,17185
出湯,16854
指物,15460
犬死,14834
反古,14608
流行ん,14541
火消,12905
五十路,12651
真直,12624
申入,12340
東遊,12223
見返,11896
取出,11618
行平,11308
羊歯,10957
秋日和,9996
仕出,9755
急く,9594
由る,9250
湯女,9084
鳴物,8912
仕る,8651
追風,8344
水主,8189
予て,7773
真青,7334
宿木,7243
悪しい,7199
委しい,7025
病葉,7007
想える,6858
日向ぼこ,6830
苦力,6524
国神,6203
五倍子,5971
どら息子,5646
他人事,5364
古強者,5259
八十路,5243
身動ぎ,5221
味酒,5159
語部,5131
飲屋,5124
転ける,5108
反橋,5036
南京豆,4894
神指,4859
水取,4800
細波,4800
公役,4757
六十路,4694
研き,4634
具える,4425
章魚,4287
氷る,4272
太刀持ち,4013
薬玉,3880
列ぶ,3799
真前,3789
大角豆,3681
研く,3647
鳥追,3608
手負,3461
時化る,3417
三葉,3328
島宮,3104
病犬,3095
温気,3052
遊部,2958
流行らす,2957
真丸,2787
湯文字,2732
具わる,2646
田の面,2612
育くむ,2574
金打,2561
勝れる,2463
委せる,2377
勉める,2373
死水,2366
入り母屋,2348
列ねる,2268
起てる,2228
急かせる,2185
安んぞ,2104
新発意,2083
死身,2075
対屋,2042
列なる,2041
研屋,2028
追出し,2007
平泳,1999
消炭,1968
申出で,1957
黒酒,1953
真田虫,1849
市庭,1833
発く,1808
部屋住,1746
持す,1739
大和歌,1738
申し出で,1711
和毛,1707
列べる,1697
通箱,1687
七十路,1674
四十物,1648
悪しざま,1645
田遊,1588
身柱,1585
悪様,1560
和ぐ,1547
漢意,1481
死目,1444
角力取,1339
事える,1331
湯中り,1255
研出し,1220
深ける,1219
習気,1183
放く,1146
追羽根,1146
反身,1143
申文,1121
太刀持,1108
研ける,1044
死場,1032
放下す,1025
外の面,1015
