上手い,991484
五月,794304
先ず,691767
一人ひとり,583104
九月,406548
ケ月,178148
見出す,176155
大人しい,117873
お早う,95725
下手くそ,90231
一人っ子,85054
一人ぼっち,73181
空しい,58635
出立,56685
五月雨,50305
村雨,49884
出で立ち,38296
口下手,34234
見出せる,33778
一先ず,29016
一人,28267
花水木,23960
空木,23682
生る,23040
九十九,18840
青土,18092
百足,17702
八十,16049
小ぢんまり,15550
一入,13892
早月,12632
円やか,11215
木耳,11064
ケ年,9056
上口,8719
生す,7533
なまっ白い,7154
三十一文字,7082
中る,6908
一人子,6899
生っ白い,6869
男男しい,6374
中り,6319
男木,5955
生玉,5336
一八,5045
まっ青,4446
生立ち,3800
石女,3070
円か,2913
出立ち,2787
中休,2244
空かす,2233
生立,2165
草生す,2059
八手,1922
千千,1818
大人びる,1636
生り年,1620
休石,1459
八口,1174
生らす,1140
