お腹,4130341
何処,2342236
有難う,1828184
若しくは,1426836
有り難う,584844
密か,517487
高砂,316018
一寸,243998
陽射し,170890
割増,126395
目論見,107887
射す,100211
席巻,86058
指値,84560
虫除け,84396
乳母,83704
片想い,76310
住処,73772
拡がり,69297
並べて,68823
真砂,64626
呼子,64252
拡がる,64011
若人,62717
立ち退き,60131
秘か,59113
片田舎,58705
目論む,49425
権兵衛,46317
討死,43450
愛敬,42203
呼出,40492
日射し,38072
下衆,37691
乳母車,35604
百日紅,33948
拡げる,33914
金平糖,33427
紅型,33357
日除け,33309
勤しむ,31642
呼出し,31268
密やか,29398
優る,28349
百舌鳥,27166
吸物,26326
台詞回し,23713
若布,23681
遺す,20392
目論み,19508
若子,17427
蒸かし,17140
背負,17005
在処,16228
延縄,15965
吸出し,14634
風除け,14544
直垂,14391
疑り,14238
百舌,14229
穴太,14032
就中,13354
典座,13184
若年寄,12745
目映い,12323
亡びる,12301
公孫樹,12141
秘蔵っ子,11684
立退き,11601
申訳,11108
太刀筋,10431
除け者,9651
曲尺,9473
呼名,9258
背負子,8930
亡ぶ,8837
言訳,8756
片男波,8736
除ける,8659
善知鳥,8277
宣う,8256
後退り,8181
料簡,7363
異い,7291
野蚕,7096
皇神,7083
訪う,7070
蚕豆,6840
一欠片,6557
揮う,6341
疑深い,6291
遺る,6226
射つ,5968
片木,5787
天降り,5759
亡ぼす,5738
退る,5527
警策,5403
討手,5347
黄泉路,5076
割出,5070
吸玉,4334
若死,4271
宝積,4253
看経,4182
本裁,4127
吸口,4015
蒸かす,3905
穴生,3887
火除,3632
尺土,3317
探湯,3165
部屋割,3139
疑る,2837
退かす,2829
吸取,2766
乳人,2722
訪い,2714
金米糖,2712
接骨木,2446
乳母子,2368
著く,2271
済す,2242
灰神楽,2200
半済,2192
天蚕糸,2050
宣る,1919
激つ,1918
日除,1790
縦令,1759
承ける,1737
追腹,1703
追討ち,1699
存える,1596
空き腹,1591
段別,1550
呼捨て,1534
お銭,1527
女子衆,1511
開け閉て,1423
波除け,1412
退っ引き,1407
推める,1386
部屋割り,1379
酸模,1312
革める,1289
射せる,1207
裏編,1146
編針,1105
革まる,1078
蒸ける,1075
吸出,1043
従く,1032
